clab19,leave,outright,mortgage,one,married,cnone,cone,ctwo,qnone,qfour,healthvg,healthg,depnone,depone,region
40.00899116,59.86194744,31.28208489,36.56202897,25.87325513,37.40306267,16.21993578,42.17620202,30.90635035,21.28081356,24.28797025,47.688153,34.97786435,46.53428578,32.55346571,South East
-11.05005314,61.80980255,28.19564324,34.17591451,32.66029593,30.26099466,33.36929716,43.93752569,18.72688039,29.63497232,15.42540769,43.01202423,33.97396225,34.95941225,32.64745171,North West
28.67967512,51.78790984,29.2901127,40.22307424,25.99976763,38.95433949,15.44092018,40.44382479,33.28918322,18.14406215,29.97063538,50.83729068,34.47286327,50.30324155,31.6881608,South East
25.16311813,44.11155085,32.0872793,31.60900395,33.23656784,32.81539999,28.61323942,42.59268072,22.64550516,32.90418006,21.0096463,48.89398551,30.00921679,35.68267263,32.54413934,Scotland
20.62792797,41.62213279,29.80946838,36.24655247,33.15199514,33.79722173,28.08127325,43.64515068,22.78282432,29.61205004,21.54576383,50.53531489,30.07413799,38.12656562,32.45869285,Scotland
16.93109607,42.39658754,31.05719794,32.84061697,35.18408006,31.88578773,31.27983841,42.61614029,20.85475578,30.13754199,21.39823794,49.0415118,30.49782757,36.05398458,32.88422696,Scotland
26.72080863,50.34779774,28.87755102,38.87117347,25.27636054,39.34098639,16.18197279,41.08418367,32.4744898,19.74441987,27.32955092,50.5706872,34.51682382,49.6619898,31.49447279,South East
46.01987695,61.37734628,35.68579003,31.93061025,29.41600391,39.69577639,20.01647234,42.81522662,27.05839961,31.31271514,18.64674845,50.24911032,33.13769505,38.60448357,35.20191491,Scotland
-34.66819479,59.97487956,14.63959975,28.31399982,26.94589569,29.11316745,41.237935,42.92482069,12.82210219,27.19404883,21.75144709,47.90987058,33.45515195,27.28017356,35.83857257,London
-18.73018454,68.18813044,29.48430197,33.48472446,31.27987114,32.22782604,29.03276914,43.31546566,22.47366058,31.86882339,17.11216945,41.66647222,34.12978043,36.14111061,31.03430065,Yorkshire and The Humber
-10.38087733,70.98499348,29.24598396,33.50413774,28.69257769,33.09676923,27.59857549,43.11444749,23.58125592,34.23951573,14.79249605,41.0387686,33.07273813,34.4879711,30.72173401,Yorkshire and The Humber
12.5722104,57.27870645,38.47379559,35.68280842,33.86530561,33.18809909,26.69986306,46.66251712,21.09548114,23.95191667,22.28749371,43.43097742,33.40013059,39.92032864,31.20378439,North West
46.25634518,67.13587731,30.79884504,35.80365736,29.74815528,35.06844188,22.19014009,43.63169714,26.09881296,25.80771765,20.57104411,46.98897276,34.80437522,41.4768474,32.97240937,East of England
43.98083758,72.99557169,28.17857233,38.06943354,27.04160442,36.19558887,20.57177585,42.12098959,27.52779114,27.9564222,15.59179893,45.50502653,35.42101026,38.28467246,34.3445342,East of England
25.94995705,53.59878197,23.85641393,40.4619103,27.42144839,37.05353147,18.33989795,42.39548832,31.24160773,17.69787368,28.01384035,50.34723508,35.29852958,50.00895175,31.52806374,South East
27.56240042,68.32275495,33.56891262,35.27099193,28.32632655,36.7117373,20.91807749,43.42915578,27.46960573,28.76445384,19.83917356,42.75393033,34.58114982,39.78411544,32.86671969,East Midlands
18.14031992,31.72454892,30.56498674,26.59681698,34.81962865,27.28116711,29.9867374,44.90981432,20.35278515,13.93548045,37.95064904,52.22656118,32.38726522,50.27586207,30.79045093,South West
-6.660116765,59.62839763,30.2678387,36.78364049,29.29471437,35.76920429,25.15893599,44.28633724,24.62417663,28.63020643,19.21884395,45.30347825,34.8335017,38.32824585,32.98294737,Yorkshire and The Humber
-9.450289278,22.04674055,16.66389143,25.33302806,33.83356923,21.66139372,49.56290067,40.97285821,8.075930397,10.65788746,57.39058264,59.36612657,28.90946406,50.93247856,30.41170594,London
46.17577936,49.00626733,37.9610351,35.90868531,27.70920087,39.13345231,10.57654174,36.87785049,37.51735078,16.54726195,37.01380798,52.28752251,33.47721533,54.4442792,30.50267698,South East
28.20294729,48.38170491,37.58615992,39.29709849,30.86772919,36.77428143,19.41424874,46.36153113,26.09453753,15.57020957,35.48898354,51.48429509,34.17039225,52.82931481,31.1020297,London
-0.30654743,51.94916653,28.01753531,31.19337555,31.74378958,31.36629323,26.79006332,44.59084267,22.46468583,22.35372686,25.14747894,44.94092969,36.73342172,40.81100828,33.3804189,East of England
38.11054282,52.88045363,33.52013749,40.84535107,24.2521607,43.26633291,9.883185135,37.54016289,37.93867842,17.21249332,30.98596801,51.31091379,34.49725832,53.94156766,30.21494931,East of England
37.34811898,53.43760549,33.14604078,41.18302513,24.90279753,41.83736368,11.19724988,38.51588431,37.24276908,18.02567282,30.0792551,49.65341329,35.10163947,52.70981508,30.70412518,East of England
34.86033729,58.0834155,30.73737517,40.44204648,27.08362914,37.23318662,16.50338397,42.32571347,31.19645984,21.20890256,24.35019351,47.33071321,36.46244769,47.01358323,32.4459274,East of England
-37.60982684,26.05032728,7.70012522,16.7032648,35.6768234,17.32936501,63.55189373,31.3286028,4.315554507,15.78520638,44.50388153,54.20717346,31.07759915,34.74946918,37.64223364,London
35.22999834,55.2978154,35.01760879,27.70847012,30.11400943,37.15453949,19.12493285,45.32919477,27.41300066,24.04096076,25.90893433,43.14958134,35.49090045,43.29075389,33.9461589,North East
43.71730704,43.25868135,32.72975122,26.92718391,34.82903556,34.47915483,20.97921163,45.93888447,25.29364989,29.15104853,25.00886435,52.22901682,31.2622118,40.71112121,34.88356242,Scotland
-61.95964466,30.85839516,8.351512657,15.01543527,34.30952871,20.13583042,66.70096728,28.92364684,3.801193661,20.82904802,39.59625048,49.76745299,32.62758175,30.44247788,35.71516773,London
38.19057936,58.73947556,38.82744651,36.70632611,27.206687,39.16738457,15.90258213,44.69254232,30.25681622,22.50508307,27.33430383,45.6730962,34.79167502,47.66117954,31.87035787,Yorkshire and The Humber
44.09828575,57.72121461,44.12523268,30.875328,32.52371661,32.85787975,17.37199758,42.63383346,28.955572,23.35830658,25.89963135,42.50995264,35.92979042,42.1695934,35.09161452,South East
30.29875595,65.25513745,32.23086346,40.65749366,27.43070393,35.18502692,23.56208871,45.54596473,23.7102242,23.84893947,20.34402483,46.97773427,35.19943539,40.84836054,34.39592058,London
-45.94958539,51.7076065,23.95763072,28.97649204,38.00994279,24.37482825,38.70693747,40.90534363,16.56049364,27.7751974,19.93412997,44.63284469,31.30221352,34.36008894,31.22236379,North West
-13.26308826,47.34707048,25.21594601,26.25853081,36.28900249,26.02936362,34.80822987,40.92774938,19.33063034,21.86275877,32.43411128,48.48396985,32.71684202,40.3611272,31.44878995,West Midlands
-10.22169236,62.97289172,21.43728053,29.99414748,35.05901288,23.9660554,39.27770191,42.47951619,14.95561842,33.64741442,16.83290624,42.55456238,33.71412792,30.25019508,32.13763168,West Midlands
-53.87915556,33.56875091,29.17133829,29.09744165,29.60707369,32.50942819,33.82937519,42.42941596,18.54551014,27.62649068,26.96422369,45.23916345,34.03765185,33.77331567,32.19090816,West Midlands
-63.67353288,51.48416727,25.6490135,27.55869615,26.85966112,31.68705519,39.81460375,42.73231517,14.13519743,39.22724373,12.06501453,43.49594832,34.22311346,22.21462402,33.76896386,West Midlands
